date,symbol,currassets,totassets,cogs,longtdebt,depamort,ebit,ebitda,currliab,totliab,netincome,rev,tax,roe,tat,de,pm
20130630,FSCR,25.974,46.982,48.939,11.315,4.102,0.838,4.94,10.578,44.933,0.104,57.193,0,0.0507564666,1.2173385552,21.929233773,0.0018184044
20130131,M,7876,20991,16538,6806,1049,2665,3714,5075,14940,1335,27686,767,0.2206246901,1.318946215,2.4690133862,0.0482193166
20130630,FLXS,149.201,192.539,291.917,0,3.803,20.271,24.074,35.502,41.302,13.151,386.189,7.73,0.0869562343,2.0057702595,0.273094547,0.0340532744
20130430,FLOW,116.459,162.093,154.397,0,5.919,13.767,19.686,57.264,65.359,5.037,259.338,5.129,0.0520706267,1.5999333716,0.6756569562,0.0194225297
20130630,FONR,37.866,73.151,23.7,12.887,2.421,7.536,9.957,21.118,35.352,8.679,49.142,-2.278,0.2296092489,0.6717884923,0.9352628376,0.1766106386
20130331,FRX,2947.786,7629.582,501.814,0,147.269,-76.981,70.288,997.691,1884.327,-32.103,3094.002,-12.755,-0.005587742,0.4055270656,0.327979698,-0.010375882
20130430,FEIM,81.016,108.909,40.081,6,2.341,6.079,8.42,9.327,26.457,3.686,68.932,1.4,0.0447047979,0.6329320809,0.3208776015,0.0534729879
20130331,FRD,64.284,76.575,120.258,0,1.79,9.086,10.876,12.312,13.617,6.136,136.449,3.009,0.0974617999,1.7819000979,0.2162870485,0.0449691826
20130531,FRS,14.421,128.712,170.772,11.65,10.388,10.464,20.852,19.261,45.056,6.816,205.088,2.513,0.0814765229,1.593386786,0.5385865927,0.033234514
20130331,FUJIY,16581.214,32493.585,12984.792,3372.897,1503.271,1211.937,2715.208,5802.506,10989.91,576.317,23520.561,475.106,0.0268008608,0.7238524466,0.5110712471,0.0245026894
20130630,GK,308.395,897.286,588.707,175,32.175,85.262,117.437,130.304,430.278,46.72,907.728,26.45,0.1000411128,1.0116373152,0.9213503837,0.0514691626
20130131,GPS,4132,7470,8921,1246,559,1942,2501,2344,4576,1135,15651,726,0.3921907395,2.0951807229,1.5812024879,0.0725193278
20130531,GIS,4298.9,22658,10745.2,5926.1,588,2925.9,3513.9,5293.9,14562,1855.2,17774.1,741.2,0.2291501976,0.7844514079,1.7986660079,0.1043765929
20130131,GCO,682.271,1333.789,1242.773,45.007,63.697,195.64,259.337,276.054,523.271,110.536,2604.817,51.941,0.1363769836,1.9529453309,0.6456007146,0.0424352267
20130331,GIGA,8.609,9.36,8.501,0.369,0.209,-3.781,-3.572,5.342,6.052,-4.206,14.187,0.002,-1.27146312,1.5157051282,1.8295042322,-0.296468598
20130531,GLDC,18.324,47.756,67.248,5.314,3.539,2.324,5.863,14.047,23.698,1.134,137.345,1.043,0.0471360878,2.8759736996,0.9850361626,0.0082565801
20130331,GHM,88.903,126.733,71.348,0.127,2.031,14.287,16.318,24.877,33.738,11.148,104.973,4.429,0.1198774128,0.8283004427,0.3627936986,0.1061987368
20130630,HRS,1948.1,4858.4,3145.3,1577.1,220.9,940.4,1161.3,1297.4,3297.2,113,5111.7,202.7,0.0723802203,1.0521365058,2.111965155,0.0221061486
20130331,HWKN,111.081,222.148,272.793,0,9.848,36.14,45.988,35.125,51.976,17.126,350.387,8.306,0.1006393531,1.5772683076,0.305432151,0.0488773841
20130430,HNZ,5135.562,12939.007,6996.959,3848.339,332.957,1722.032,2054.989,4786.872,10060.657,1012.903,11528.886,241.598,0.3519040422,0.8910178347,3.4952861883,0.0878578381
20130228,HELE,545.205,1474.004,735.622,155,34.43,148.773,183.203,308.665,547.398,115.666,1288.263,19.848,0.1248275966,0.8739888087,0.5907559416,0.0897844617
20130930,HP,1258.211,6264.827,1852.768,80,455.623,937.738,1393.361,452.273,1821.1,736.639,3387.614,392.844,0.1657705345,0.5407354425,0.4098136542,0.2174506895
20131031,HPQ,50364,105676,83142,16608,4611,8143,12754,45521,78020,5113,112298,1397,0.1848785074,1.0626632348,2.8210876482,0.0455306417
20130930,HRC,688,1586.8,804.4,225.8,116.8,188.2,305,345.4,728.1,105,1716.2,39,0.1222778619,1.0815477691,0.8479096308,0.0611816805
20130331,HTHIY,55120.412,104176.189,67183.22,14970.741,4439.454,4482.032,8921.486,42100.053,70411.459,1862.001,96018.172,1134.41,0.0551463317,0.9216901954,2.0853553101,0.019392173
20130131,HD,15372,41084,48912,9475,1568,7863,9431,11462,23307,4535,74754,2686,0.2551049108,1.8195404537,1.3110761096,0.06066565
20130331,HMC,56531.999,144810.503,71736.332,28789.772,6270.911,5613.126,11884.037,43507.7,89609.335,3899.203,104905.979,1900.765,0.0706362409,0.7244362586,1.6233231695,0.0371685488
20131031,HRL,2047.413,4915.88,7213.988,250,124.85,793.176,918.026,784.009,1599.301,526.211,8751.654,268.431,0.1586607767,1.7802822689,0.4822140525,0.0601270343
20130131,HBAYF,1424.7,3252.6,2486.2,718.5,124.1,197.6,321.7,1363.5,2254.6,-44.8,4077,-8,-0.04488978,1.2534587714,2.2591182365,-0.010988472
20130930,HTCH,116.165,306.675,194.28,125.991,38.891,-21.872,17.019,43.954,172.442,-35.076,249.596,0.016,-0.261306832,0.8138778838,1.2846468454,-0.140531098
20130228,LPHI,15.739,36.082,11.528,0,0.253,-6.051,-5.798,4.358,7.26,-2.877,5.73,-1.212,-0.099819582,0.1588049443,0.2518909167,-0.502094241
20130630,IMMU,45.216,47.927,35.502,0,1.036,-31.576,-30.54,9.945,11.346,-12.165,4.962,0.044,-0.332549684,0.1035324556,0.3101610125,-2.451632406
20130331,IEHC,7.689,9.221,9.066,0,0.235,1.808,2.043,0.572,0.594,0.93,13.33,0.851,0.1078010896,1.445613274,0.0688535992,0.0697674419
20130930,GFF,824.41,1788.779,1382.994,678.487,70.748,79.258,150.006,284.409,1138.315,3.767,1871.327,7.543,0.0057912506,1.0461476795,1.7500046121,0.00201301
20130331,IDTI,440.505,728.579,175.932,0,40.635,-4.281,36.354,74.525,98.553,-20.172,487.236,-2.007,-0.032017726,0.6687483444,0.1564268776,-0.041400882
20130930,IGT,1776,4612.8,843,1366.3,231.6,576.7,808.3,1508.5,3358.7,272.7,2336.6,129.6,0.2174467746,0.5065469997,2.6781755841,0.1167080373
20130630,IRF,863.184,1453.212,629.03,0,95.87,-56.704,39.166,208.394,241.894,-88.82,977.035,11.99,-0.073325089,0.6723279191,0.1996948778,-0.090907695
20130430,ITSI,16.208,16.834,6.514,0,0.181,1.551,1.732,8.394,8.394,3.099,10.571,-1.547,0.3671800948,0.6279553285,0.994549763,0.2931605335
20130930,JEC,4039.558,7274.144,9877.183,415.086,98.874,668.979,767.853,1887.619,3025.809,423.093,11818.376,221.366,0.0995903101,1.6247102065,0.712234087,0.0357995887
20130930,JCI,13698,31518,35000,4560,952,2744,3696,12117,18787,1178,42730,1168,0.0925300448,1.3557332318,1.4756892624,0.0275684531
20130630,KLAC,4351.503,5287.357,1165.689,747.376,70.1,737.082,807.182,861.532,1805.205,543.149,2842.781,147.472,0.1559808417,0.5376563376,0.518416485,0.1910625546
20130131,SHLD,9265,19340,29340,1943,830,-544,286,8414,16168,-930,39854,44,-0.293190416,2.0607032058,5.0970996217,-0.023335173
20130630,KMT,1499.473,3301.039,1652.025,703.626,113.104,296.394,409.498,467.593,1488.746,203.265,2589.373,59.693,0.1121590162,0.7844115141,0.8214709211,0.0784996986
20130430,KEQU,47.23,68.742,92.21,3.267,2.653,5.277,7.93,22.115,35.049,3.044,117.121,1.54,0.0903451756,1.7037764394,1.0402457484,0.0259902152
20130630,KTCC,111.767,135.13,323.556,0,2.965,17.626,20.591,37.94,40.97,12.583,361.033,5.272,0.1336342396,2.6717457263,0.4351104503,0.0348527697
20130630,KBALB,428.899,644.519,948.454,0.294,30.932,23.417,54.349,214.451,240.013,19.879,1203.134,2.784,0.049143894,1.8667161092,0.5933484299,0.0165226816
20130331,KMTUY,15845.964,26740.198,13680.3,3651.381,948.619,2276.02,3224.639,8789.04,13436.3,1341.557,20019.021,733.74,0.1008393931,0.7486489442,1.0099521208,0.0670141162
20130630,KOSS,25.183,35.227,20.357,0,2.399,0.055,2.454,10.567,13.837,5.428,35.765,2.27,0.2537634409,1.0152723763,0.6468910706,0.1517684887
20130630,KRSL,15.946,16.902,25.562,0,0.224,2.792,3.016,3.194,3.676,1.767,30.4,0.963,0.1336004839,1.7986037155,0.277937396,0.058125
20130131,KR,7959,24652,76858,6145,1652,2649,4301,11057,20438,1497,96751,794,0.3552444234,3.9246714263,4.8500237304,0.0154727083
20130331,KUBTY,10776.073,18518.161,8706.021,2903.144,310.673,1190.92,1501.593,6317.502,9909.325,782.583,12400.467,432.668,0.090904624,0.669638146,1.1510644412,0.0631091555
20130930,KLIC,754.388,862.994,278.682,0,18.486,65.649,84.135,77.402,146.329,59.358,534.938,7.31,0.0828253089,0.6198629423,0.2041804748,0.1109623919
20130331,KYO,13470.508,24244.403,9332.552,221.485,781.616,1044.253,1825.869,3468.883,6031.34,705.958,13594.456,361.215,0.0387610804,0.5607255415,0.3311546224,0.0519298455
